item,pass_a,pass_b,delta,resolution
charm_guides,1011,1095,84,pass B authoritative - live gain between passes (alliance gifts/events/collections)
charm_designs,723,857,134,pass B authoritative - live gain between passes (alliance gifts/events/collections)
charm_secrets,0,0,0,unchanged
design_plans,476,614,138,pass B authoritative - live gain between passes (alliance gifts/events/collections)
polishing_solution,529,1081,552,pass B authoritative - live gain between passes (alliance gifts/events/collections)
hardened_alloy,57187,112327,55140,pass B authoritative - live gain between passes (alliance gifts/events/collections)
lunar_amber,17,18,1,pass B authoritative - live gain between passes (alliance gifts/events/collections)
essence_stones,404,427,23,pass B authoritative - live gain between passes (alliance gifts/events/collections)
widgets,9380,11880,2500,pass B authoritative - live gain between passes (alliance gifts/events/collections)
mythic_general_shards,265,310,45,pass B authoritative - live gain between passes (alliance gifts/events/collections)
epic_general_shards,72,72,0,unchanged
rare_general_shards,2,2,0,unchanged
common_wild_marks,219,77,-142,new field
pet_advancement_manuals,481,481,0,unchanged
strengthening_serum,8,8,0,unchanged
trek_compass,688,688,0,unchanged
